,region,year,accidents,deaths,injuries,driving_licenses,geo_point_2d,x,y,pop_females,pop_males,pop_total
0,Al-Baaha,1993,,,,3270,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
1,Al-Baaha,1994,,,,2729,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
2,Al-Baaha,1995,,,,2423,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
3,Al-Baaha,1996,,,,1468,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
4,Al-Baaha,1997,,,,3027,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
5,Al-Baaha,1998,,,,5110,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
6,Al-Baaha,1999,,,,4246,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
7,Al-Baaha,2000,,,,4832,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
8,Al-Baaha,2001,,,,7594,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
9,Al-Baaha,2002,,,,3335,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
10,Al-Baaha,2003,,,,3616,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
11,Al-Baaha,2004,,,,3410,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
12,Al-Baaha,2005,,,,2698,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
13,Al-Baaha,2006,,,,3593,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
14,Al-Baaha,2007,,,,997,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
15,Al-Baaha,2008,,,,5418,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
16,Al-Baaha,2009,,,,9815,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
17,Al-Baaha,2010,,,,7076,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
18,Al-Baaha,2011,,,,6450,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
19,Al-Baaha,2012,,,,7593,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
20,Al-Baaha,2013,,,,7482,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
21,Al-Baaha,2014,,,,7268,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
22,Al-Baaha,2015,,,,4856,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
23,Al-Baaha,2016,3618.0,185.0,1227.0,4614,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,217659.0,249287.0,466946.0
24,Al-Baaha,2017,1414.0,134.0,1007.0,4131,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,222088.0,255017.0,477105.0
25,Al-Baaha,2018,1764.0,111.0,935.0,2575,"20.1484058503,41.4665484892",20.1484058503,41.4665484892,226304.0,260804.0,487108.0
26,Al-Jouf,1993,,,,2884,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
27,Al-Jouf,1994,,,,2535,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
28,Al-Jouf,1995,,,,2270,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
29,Al-Jouf,1996,,,,2518,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
30,Al-Jouf,1997,,,,3565,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
31,Al-Jouf,1998,,,,3476,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
32,Al-Jouf,1999,,,,3950,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
33,Al-Jouf,2000,,,,4666,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
34,Al-Jouf,2001,,,,4756,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
35,Al-Jouf,2002,,,,5940,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
36,Al-Jouf,2003,,,,3852,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
37,Al-Jouf,2004,,,,4601,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
38,Al-Jouf,2005,,,,3558,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
39,Al-Jouf,2006,,,,4846,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
40,Al-Jouf,2007,,,,9097,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
41,Al-Jouf,2008,,,,10929,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
42,Al-Jouf,2009,,,,10567,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
43,Al-Jouf,2010,,,,10937,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
44,Al-Jouf,2011,,,,10180,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
45,Al-Jouf,2012,,,,10246,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
46,Al-Jouf,2013,,,,11602,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
47,Al-Jouf,2014,,,,9982,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
48,Al-Jouf,2015,,,,10233,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,,,
49,Al-Jouf,2016,10212.0,245.0,920.0,9371,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,214854.0,283227.0,498081.0
50,Al-Jouf,2017,10469.0,240.0,862.0,8091,"29.9677445762, 39.5570371172",29.9677445762,39.5570371172,219441.0,290063.0,509504.0
51,Al-Jouf,2018,7355.0,157.0,618.0,6834,"29.9677445762,39.5570371172",29.9677445762,39.5570371172,223749.0,296988.0,520737.0
52,Asir,1993,,,,6226,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
53,Asir,1994,,,,5185,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
54,Asir,1995,,,,4889,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
55,Asir,1996,,,,3319,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
56,Asir,1997,,,,12204,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
57,Asir,1998,,,,13220,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
58,Asir,1999,,,,14625,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
59,Asir,2000,,,,18622,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
60,Asir,2001,,,,20321,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
61,Asir,2002,,,,20417,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
62,Asir,2003,,,,15693,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
63,Asir,2004,,,,17947,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
64,Asir,2005,,,,18565,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
65,Asir,2006,,,,20330,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
66,Asir,2007,,,,10835,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
67,Asir,2008,,,,18800,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
68,Asir,2009,,,,21582,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
69,Asir,2010,,,,21835,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
70,Asir,2011,,,,24515,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
71,Asir,2012,,,,23136,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
72,Asir,2013,,,,29730,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
73,Asir,2014,,,,29552,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
74,Asir,2015,,,,38567,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
75,Asir,2016,32684.0,983.0,2541.0,41367,"19.1387847401, 42.941470036",19.1387847401,42.941470036,982523.0,1184460.0,2166983.0
76,Asir,2017,25245.0,828.0,2368.0,39133,"19.1387847401, 42.941470036",19.1387847401,42.941470036,1002829.0,1211907.0,2214736.0
77,Asir,2018,25964.0,696.0,2192.0,22362,"19.1387847401,42.941470036",19.1387847401,42.941470036,1022027.0,1239591.0,2261618.0
78,Eastern Region,1993,,,,9964,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
79,Eastern Region,1994,,,,10918,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
80,Eastern Region,1995,,,,7831,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
81,Eastern Region,1996,,,,8461,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
82,Eastern Region,1997,,,,58814,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
83,Eastern Region,1998,,,,70650,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
84,Eastern Region,1999,,,,64973,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
85,Eastern Region,2000,,,,65767,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
86,Eastern Region,2001,,,,74119,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
87,Eastern Region,2002,,,,85035,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
88,Eastern Region,2003,,,,82697,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
89,Eastern Region,2004,,,,84984,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
90,Eastern Region,2005,,,,82505,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
91,Eastern Region,2006,,,,79517,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
92,Eastern Region,2007,,,,106511,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
93,Eastern Region,2008,,,,104626,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
94,Eastern Region,2009,,,,108544,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
95,Eastern Region,2010,,,,110295,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
96,Eastern Region,2011,,,,151087,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
97,Eastern Region,2012,,,,129971,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
98,Eastern Region,2013,,,,123325,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
99,Eastern Region,2014,,,,121774,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
100,Eastern Region,2015,,,,135752,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
101,Eastern Region,2016,101619.0,1113.0,4893.0,142307,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,1916573.0,2870802.0,4787375.0
102,Eastern Region,2017,81433.0,963.0,4073.0,126816,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,1962114.0,2947271.0,4909385.0
103,Eastern Region,2018,45077.0,661.0,2969.0,131639,"23.2883307307,50.1478302439",23.2883307307,50.1478302439,2003767.0,3024986.0,5028753.0
104,Hail,1993,,,,10484,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
105,Hail,1994,,,,11131,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
106,Hail,1995,,,,9735,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
107,Hail,1996,,,,10267,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
108,Hail,1997,,,,6606,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
109,Hail,1998,,,,4708,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
110,Hail,1999,,,,3139,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
111,Hail,2000,,,,3215,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
112,Hail,2001,,,,6077,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
113,Hail,2002,,,,5070,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
114,Hail,2003,,,,3861,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
115,Hail,2004,,,,8656,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
116,Hail,2005,,,,16247,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
117,Hail,2006,,,,8166,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
118,Hail,2007,,,,4021,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
119,Hail,2008,,,,7413,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
120,Hail,2009,,,,7282,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
121,Hail,2010,,,,7637,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
122,Hail,2011,,,,9123,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
123,Hail,2012,,,,11082,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
124,Hail,2013,,,,9731,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
125,Hail,2014,,,,10417,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
126,Hail,2015,,,,7172,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
127,Hail,2016,10199.0,299.0,932.0,54507,"27.400845724, 41.4406960508",27.400845724,41.4406960508,307434.0,377989.0,685423.0
128,Hail,2017,9379.0,265.0,773.0,22035,"27.400845724, 41.4406960508",27.400845724,41.4406960508,313916.0,386949.0,700865.0
129,Hail,2018,6955.0,193.0,912.0,39575,"27.400845724,41.4406960508",27.400845724,41.4406960508,320013.0,396008.0,716021.0
130,Jazan,1993,,,,6009,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
131,Jazan,1994,,,,3826,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
132,Jazan,1995,,,,2284,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
133,Jazan,1996,,,,2226,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
134,Jazan,1997,,,,5695,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
135,Jazan,1998,,,,2613,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
136,Jazan,1999,,,,4792,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
137,Jazan,2000,,,,5678,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
138,Jazan,2001,,,,10631,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
139,Jazan,2002,,,,5254,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
140,Jazan,2003,,,,5220,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
141,Jazan,2004,,,,5016,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
142,Jazan,2005,,,,5502,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
143,Jazan,2006,,,,7955,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
144,Jazan,2007,,,,12634,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
145,Jazan,2008,,,,11346,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
146,Jazan,2009,,,,9437,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
147,Jazan,2010,,,,12270,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
148,Jazan,2011,,,,10946,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
149,Jazan,2012,,,,11156,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
150,Jazan,2013,,,,14175,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
151,Jazan,2014,,,,15621,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
152,Jazan,2015,,,,13931,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,,,
153,Jazan,2016,25873.0,514.0,2259.0,11504,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,704381.0,830786.0,1535167.0
154,Jazan,2017,22161.0,466.0,2207.0,18345,"17.2072313962, 42.6525807422",17.2072313962,42.6525807422,719958.0,849914.0,1569872.0
155,Jazan,2018,19572.0,563.0,2112.0,12265,"17.2072313962,42.6525807422",17.2072313962,42.6525807422,734453.0,869206.0,1603659.0
156,Madinah,1993,,,,4122,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
157,Madinah,1994,,,,3767,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
158,Madinah,1995,,,,4155,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
159,Madinah,1996,,,,3425,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
160,Madinah,1997,,,,10495,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
161,Madinah,1998,,,,13020,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
162,Madinah,1999,,,,11108,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
163,Madinah,2000,,,,9562,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
164,Madinah,2001,,,,13561,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
165,Madinah,2002,,,,10494,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
166,Madinah,2003,,,,12920,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
167,Madinah,2004,,,,10556,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
168,Madinah,2005,,,,10210,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
169,Madinah,2006,,,,11204,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
